"condition","n","dur_ms","dur_sd","intensity","int_sd","f0_st","f0_sd"
"a",900,157.044444444444,NA,58.1747466666667,NA,10.8972818375378,NA
"b",900,147.533333333333,NA,58.1922955555556,NA,11.1036036100945,NA
