word_type,condition,n_syll,dur_ms,f0_st,intensity
article,a,900,168.9777777777778,8.917225631794434,56.66657967440874
article,b,900,167.9444444444445,8.89165765127066,56.59995703780214
noun,a,1800,169.22222222222217,10.077758870009136,58.024945555555554
noun,b,1800,163.65000000000006,10.225030724637596,57.94444638888889
verb,a,1800,177.53888888888892,9.951242899875712,54.94063944444444
verb,b,1800,182.14444444444456,9.525263755295889,54.67121
