syll_tag,dur_ms_a,dur_ms_b,f0_st_a,f0_st_b,intensity_a,intensity_b,dur_diff_ms,f0_diff_st,intensity_diff
Art,168.9777777777778,167.9444444444445,8.917225631794434,8.89165765127066,56.66657967440874,56.59995703780214,1.0333333333332746,0.02556798052377296,0.06662263660659562
N-s1,181.39999999999998,179.76666666666668,9.258235902480521,9.34449892527775,57.875144444444445,57.69659722222222,1.6333333333332973,-0.08626302279722786,0.17854722222222108
N-s2,157.04444444444445,147.5333333333333,10.897281837537758,11.103603610094531,58.174746666666664,58.19229555555555,9.511111111111148,-0.2063217725567732,-0.01754888888888928
V-s1,228.17777777777772,220.6333333333334,10.001022523505345,9.716338066779285,55.77660888888889,55.22593,7.544444444444309,0.28468445672606,0.5506788888888892
V-s2,126.90000000000005,143.65555555555557,9.90135240848743,9.333976902865349,54.10467,54.11649,-16.755555555555517,0.5673755056220813,-0.011820000000000164
